Rank,Released,Movies,worldwide box office $,domestic box office $,international box office $
475,2014,Yi bu zhi yao,81300000,0,81300000
476,2013,Pain & Gain,81275291,49875291,31400000
477,2016,Underworld: Blood Wars,81209222,30353973,50855249
478,2003,The Rundown,80831893,47641743,33190150
479,2018,Den of Thieves,80147166,44947622,35199544
480,2001,Exit Wounds,79958599,51758599,28200000
481,2007,Dragon Wars: D-War,79915361,10977721,68937640
482,1986,The Golden Child,79817937,79817937,0
483,2017,Sha Po Lang: Tan Lang,79226860,0,79226860
484,1982,Conan the Barbarian,79114085,38264085,40850000
485,2013,R.I.P.D.,79076678,33618855,45457823
486,1964,From Russia With Love,78900000,24800000,54100000
487,2002,Collateral Damage,78353508,40048332,38305176
488,1984,The Terminator,78019031,38019031,40000000
489,2005,Hostage,77636443,34636443,43000000
490,2002,Windtalkers,77628265,40914068,36714197
491,1995,Money Train,77224232,35324232,41900000
492,2006,Man cheng jin dai huang jin jia,76904429,6566773,70337656
493,2017,Tiger Zinda Hai,76520376,5560921,70959455
494,2005,Stealth,76416746,32116746,44300000
495,2011,The Mechanic,76347393,29121498,47225895
496,2018,Sicario: Day of the Soldado,76346094,50065850,26280244
497,2014,John Wick,75958800,43037835,32920965
498,1982,48 Hrs.,75936265,75936265,0
499,2016,Shin Godjira,75614390,1908028,73706362
500,2012,Thermae Romae,75387554,0,75387554
501,2020,Jin Ji Jiu Yuan,74889133,0,74889133
502,2014,"I, Frankenstein",74575290,19075290,55500000
503,2003,The Core,74120792,31111260,43009532
504,2007,Next,73591500,18211013,55380487
505,2014,Brick Mansions,73421224,20396829,53024395
506,2019,Charlie’s Angels,73235048,17801306,55433742
507,2016,Sultan,72989781,5599781,67390000
508,2001,The One,72689126,43905746,28783380
509,2008,Death Race,72516819,36316032,36200787
510,2016,Tunnel,72460332,568876,71891456
511,2015,Run All Night,71561644,26461644,45100000
512,2005,XXX: State of the Union,71073932,26873932,44200000
513,1998,Ronin,70692101,41610884,29081217
514,2012,One Piece Film Z,70569231,0,70569231
515,2012,Odoru Daisôsasen the Final: Aratanaru kibô,70519044,0,70519044
516,2008,Babylon A.D.,70216497,22532572,47683925
517,1989,Star Trek V: The Final Frontier,70200000,52210049,17989951
518,2015,The Transporter Refueled,69698495,16029670,53668825
519,2022,Doragon boru supa supa hiro (ラゴンボール超 スーパーヒーロー)…,69476133,32132374,37343759
520,2022,The Northman,69474569,34233110,35241459
521,2002,Bad Company,69157016,30157016,39000000
522,2008,The X-Files: I Want to Believe,68170792,20982478,47188314
523,2004,Taxi,68109966,36609966,31500000
524,1983,Sudden Impact,67642693,67642693,0
525,2018,Mile 22,66295121,36108758,30186363
526,2016,One Piece Film: Gold,65796025,190859,65605166
